Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
KWE,,,0.110483,48,48,96,0.50266,0.000837,9,0.285896,0.314575,0.000364,137,137,274,12
NAY,,,0.045512,40,40,80,0.161538,0.00083,10,0.265383,0.289885,0.000739,80,80,160,12
PVG,,,0.441471,153,152,305,0.156353,0.002907,8,0.362067,0.409409,0.022119,414,411,825,12
ACY,,,0.045355,9,9,18,0.805556,0.000199,9,0.284379,0.305338,0,10,10,20,8
FLL,,,0.292363,97,97,194,0.25,0.002016,8,0.326186,0.363775,0.006094,188,186,374,8
MCO,,,0.341151,102,102,204,0.278684,0.001957,9,0.336221,0.376191,0.003864,238,237,475,8
RSW,,,0.15231,33,33,66,0.623106,0.000611,9,0.303605,0.332412,0.000087,65,63,128,8
TPA,,,0.245833,67,68,135,0.422847,0.001199,9,0.320125,0.353757,0.000467,138,138,276,8
ACZ,,,0.001116,1,1,2,0,0.000068,10,0.225796,0.236948,0,1,1,2,6
ADA,,,0.033883,10,10,20,0.6,0.000221,9,0.279299,0.302043,0.000009,17,17,34,3
ADB,,,0.245229,45,44,89,0.385859,0.000744,8,0.305666,0.337927,0.000412,67,66,133,1
AYT,,,0.291263,64,63,127,0.239663,0.000969,8,0.306944,0.342461,0.000902,126,127,253,1
EBL,,,0.129636,20,20,40,0.576316,0.000354,9,0.305777,0.332351,0.000036,30,30,60,6
ECN,,,0.027753,8,8,16,0.785714,0.000187,9,0.276057,0.297226,0.000001,14,14,28,3
ESB,,,0.118594,45,43,88,0.15101,0.001089,9,0.299141,0.327856,0.002083,53,52,105,3
SAW,,,0.379912,98,98,196,0.175153,0.001781,8,0.323003,0.363243,0.003656,145,145,290,1
TZX,,,0.02767,7,7,14,0.714286,0.000161,9,0.276169,0.2973,0.000001,10,10,20,3
VAN,,,0.019137,4,4,8,0.833333,0.000117,9,0.275314,0.295474,0,5,5,10,3
ASR,,,0.043056,5,5,10,0.9,0.000116,9,0.288855,0.311873,0,8,7,15,1
ATH,,,0.49414,102,104,206,0.270164,0.00197,8,0.331761,0.373799,0.010587,206,197,403,1
BSL,,,0.375283,65,66,131,0.405128,0.000882,8,0.3103,0.344943,0.000199,94,95,189,1
DIY,,,0.021951,4,4,8,0.833333,0.000112,9,0.275359,0.295573,0,7,7,14,1
DTM,,,0.111309,29,28,57,0.246305,0.00044,9,0.283734,0.311109,0.00006,34,33,67,1
EZS,,,0.021951,4,4,8,0.833333,0.000112,9,0.275359,0.295573,0,6,6,12,3
